N	QUESTION	PGUS_SUM	PGUS_MEAN	COUNT0	COUNT1	COUNT2	COUNT3	COUNT4	PGUS_MEDIAN	PGUS_IQR	PGUS_SDEV	QGROUP	PGUS_TO_AVG_PC
175	A1	466	2.663	0	14	48	96	17	3	1	0.762	A	0.8
175	A2	471	2.691	0	18	40	95	22	3	1	0.821	A	1.9
175	A3	424	2.423	1	11	85	69	9	2	1	0.714	A	-8.3
175	A4	451	2.577	3	18	47	89	18	3	1	0.873	A	-2.4
175	A5	495	2.829	0	7	41	102	25	3	1	0.715	A	7.1
175	B1	518	2.96	1	8	29	96	41	3	0	0.798	B	12.1
175	B2	532	3.04	1	8	18	104	44	3	0.5	0.768	B	15.1
175	B3	429	2.451	3	17	70	68	17	2	1	0.862	B	-7.2
175	B4	473	2.703	2	20	29	101	23	3	1	0.879	B	2.3
175	B5	450	2.571	1	17	59	77	21	3	1	0.847	B	-2.6
175	C1	428	2.446	5	20	58	76	16	3	1	0.914	C	-7.4
175	C2	456	2.606	0	16	52	92	15	3	1	0.772	C	-1.3
175	C3	443	2.531	0	20	59	79	17	3	1	0.822	C	-4.2
175	C4	452	2.583	0	9	74	73	19	3	1	0.753	C	-2.2
175	C5	436	2.491	0	12	78	72	13	2	1	0.734	C	-5.7
175	D1	460	2.629	6	7	53	89	20	3	1	0.867	D	-0.5
175	D2	476	2.72	2	8	53	86	26	3	1	0.814	D	3
175	D3	406	2.32	8	32	58	50	27	2	1	1.083	D	-12.2
175	D4	462	2.64	3	16	51	76	29	3	1	0.923	D	-0.1
175	D5	529	3.023	3	8	22	91	51	3	1	0.871	D	14.4
175	E1	480	2.743	3	5	55	83	29	3	1	0.828	E	3.8
175	E2	425	2.429	2	30	52	73	18	3	1	0.931	E	-8.1
175	E3	523	2.989	0	8	24	105	38	3	0	0.735	E	13.1
175	E4	450	2.571	0	7	85	59	24	2	1	0.776	E	-2.6
175	E5	421	2.406	2	15	86	54	18	2	1	0.831	E	-8.9
